timestamp,city,avg_temp,humidity,wind_kph
2024-05-27,Phnom Penh,31.8,59,13.7
2024-05-28,Phnom Penh,31.7,56,13.0
2024-05-29,Phnom Penh,32.0,55,17.3
2024-05-30,Phnom Penh,32.3,53,23.8
2024-05-31,Phnom Penh,32.6,50.1,20.2
2024-05-24,Yaoundé,22.8,90,5.8
2024-05-25,Yaoundé,21.5,90,6.1
2024-05-26,Yaoundé,23.6,83,4.7
2024-05-27,Yaoundé,22.8,91,5.4
2024-05-28,Yaoundé,23.3,90,7.9
2024-05-29,Yaoundé,23.8,87,9.0
2024-05-30,Yaoundé,23.3,90,9.0
2024-05-31,Yaoundé,23.8,88.9,9.5
2024-05-24,Ottawa,12.6,69,25.9
2024-05-25,Ottawa,11.4,76,11.5
2024-05-26,Ottawa,15.9,78,13.3
2024-05-27,Ottawa,14.7,90,26.3
2024-05-28,Ottawa,15.6,90,25.9
2024-05-29,Ottawa,11.9,71,14.4
2024-05-30,Ottawa,12.5,57,13.0
2024-05-31,Ottawa,13.6,71.0,15.7
2024-05-24,Bangui,25.6,76,6.5
2024-05-25,Bangui,24.5,80,10.8
2024-05-26,Bangui,26.2,72,5.0
2024-05-27,Bangui,28.6,61,10.8
2024-05-28,Bangui,28.3,62,12.2
2024-05-29,Bangui,27.0,72,10.1
2024-05-30,Bangui,27.4,64,10.1
2024-05-31,Bangui,28.6,60.7,11.7
2024-05-24,N'Djamena,37.0,27,26.6
2024-05-25,N'Djamena,36.2,29,16.6
2024-05-26,N'Djamena,35.5,33,21.6
2024-05-27,N'Djamena,37.0,27,24.5
2024-05-28,N'Djamena,38.8,18,11.5
2024-05-29,N'Djamena,38.6,17,15.1
2024-05-30,N'Djamena,37.0,27,26.6
2024-05-31,N'Djamena,38.3,19.9,18.5
2024-05-24,Santiago,10.9,51,13.7
2024-05-25,Santiago,9.6,53,14.4
2024-05-26,Santiago,7.4,55,12.6
2024-05-27,Santiago,10.8,24,13.7
2024-05-28,Santiago,13.6,21,14.8
2024-05-29,Santiago,13.3,30,8.6
2024-05-30,Santiago,14.7,27,8.6
2024-05-31,Santiago,15.0,15.6,8.8
2024-05-24,Beijing,23.2,39,15.8
2024-05-25,Beijing,15.6,76,7.6
2024-05-26,Beijing,22.0,44,26.3
2024-05-27,Beijing,25.9,21,11.9
2024-05-28,Beijing,26.8,23,11.9
2024-05-29,Beijing,28.7,21,26.6
2024-05-30,Beijing,29.6,29,20.5
2024-05-31,Beijing,31.7,13.1,22.6
2024-05-24,Bogotá,14.6,88,5.8
2024-05-25,Bogotá,14.3,88,6.5
2024-05-26,Bogotá,14.2,89,6.5
2024-05-27,Bogotá,14.1,86,6.8
2024-05-28,Bogotá,13.4,87,6.8
2024-05-29,Bogotá,13.9,90,5.8
2024-05-30,Bogotá,14.1,90,6.8
2024-05-31,Bogotá,13.6,89.4,6.7
2024-05-24,Moroni,25.2,73,27.0
2024-05-25,Moroni,24.6,72,30.2
2024-05-26,Moroni,24.0,73,29.5
2024-05-27,Moroni,24.4,73,28.4
2024-05-28,Moroni,25.1,73,31.0
2024-05-29,Moroni,24.5,73,25.6
2024-05-30,Moroni,25.3,76,30.2
2024-05-31,Moroni,24.9,74.9,29.1
2024-05-24,Kinshasa,27.9,61,13.0
2024-05-25,Kinshasa,27.1,70,9.7
2024-05-26,Kinshasa,29.1,61,9.7
2024-05-27,Kinshasa,28.7,65,10.4
2024-05-28,Kinshasa,29.2,62,9.7
2024-05-29,Kinshasa,29.8,59,9.7
2024-05-30,Kinshasa,29.5,55,10.4
2024-05-31,Kinshasa,30.2,56.3,9.3
2024-05-24,Brazzaville,27.9,61,13.0
2024-05-25,Brazzaville,27.1,70,9.7
2024-05-26,Brazzaville,29.1,61,9.7
2024-05-27,Brazzaville,28.7,65,10.4
2024-05-28,Brazzaville,29.2,62,9.7
2024-05-29,Brazzaville,29.8,59,9.7
2024-05-30,Brazzaville,29.5,55,10.4
2024-05-31,Brazzaville,30.2,56.3,9.3
2024-05-24,San José,18.3,66,20.5
2024-05-25,San José,18.0,68,10.1
2024-05-26,San José,18.6,71,15.1
2024-05-27,San José,19.2,71,12.6
2024-05-28,San José,18.7,79,15.1
2024-05-29,San José,18.3,78,13.7
2024-05-30,San José,20.0,72,20.2
2024-05-31,San José,19.6,78.7,16.2
2024-05-24,Zagreb,18.1,72,5.8
2024-05-25,Zagreb,18.8,66,8.3
2024-05-26,Zagreb,18.1,78,11.2
2024-05-27,Zagreb,18.3,72,9.0
2024-05-28,Zagreb,18.2,72,14.8
2024-05-29,Zagreb,15.7,84,5.4
2024-05-30,Zagreb,17.9,72,10.4
2024-05-31,Zagreb,16.9,78.0,10.9
2024-05-24,Havana,27.3,59,21.6
2024-05-25,Havana,27.1,65,15.5
2024-05-26,Havana,29.0,60,8.6
2024-05-27,Havana,30.5,59,12.2
2024-05-28,Havana,29.4,59,25.6
2024-05-29,Havana,27.8,69,23.4
2024-05-30,Havana,28.4,67,25.6
2024-05-31,Havana,29.2,67.0,25.3
2024-05-24,Nicosia,23.3,48,31.7
2024-05-25,Nicosia,23.6,49,16.2
2024-05-26,Nicosia,23.3,52,14.0
2024-05-27,Nicosia,22.9,59,25.2
2024-05-28,Nicosia,22.4,61,15.8
2024-05-29,Nicosia,21.9,63,12.6
2024-05-30,Nicosia,22.0,62,17.6
2024-05-31,Nicosia,21.6,67.6,12.2
2024-05-24,Prague,15.6,82,8.3
2024-05-25,Prague,16.0,80,13.0
2024-05-26,Prague,17.0,75,13.7
2024-05-27,Prague,17.4,73,7.9
2024-05-28,Prague,13.9,87,15.5
2024-05-29,Prague,15.3,64,15.8
2024-05-30,Prague,14.6,83,11.9
2024-05-31,Prague,14.6,75.3,14.9
2024-05-24,Copenhagen,16.0,78,15.5
2024-05-25,Copenhagen,16.4,80,15.1
2024-05-26,Copenhagen,16.6,81,21.2
2024-05-27,Copenhagen,16.0,83,14.8
2024-05-28,Copenhagen,14.0,89,25.6
2024-05-29,Copenhagen,13.2,87,25.6
2024-05-30,Copenhagen,14.6,87,16.9
2024-05-31,Copenhagen,13.4,90.6,23.5
2024-05-24,Djibouti,33.3,48,16.6
2024-05-25,Djibouti,33.4,47,20.2
2024-05-26,Djibouti,33.4,46,23.4
2024-05-27,Djibouti,33.1,51,20.5
2024-05-28,Djibouti,34.1,47,24.5
2024-05-29,Djibouti,34.3,43,18.0
2024-05-30,Djibouti,34.2,41,21.2
2024-05-31,Djibouti,34.4,42.1,22.1
2024-05-24,Roseau,27.9,77,22.0
2024-05-25,Roseau,28.1,78,20.9
2024-05-26,Roseau,28.0,80,22.3
2024-05-27,Roseau,28.0,79,24.1
2024-05-28,Roseau,27.9,75,22.3
2024-05-29,Roseau,27.8,77,22.0
2024-05-30,Roseau,27.9,78,26.6
2024-05-31,Roseau,27.8,77.1,25.2
2024-05-24,Santo Domingo,25.9,77,16.2
2024-05-25,Santo Domingo,26.4,77,11.5
2024-05-26,Santo Domingo,26.4,81,13.7
2024-05-27,Santo Domingo,26.2,83,14.4
2024-05-28,Santo Domingo,24.7,87,13.0
2024-05-29,Santo Domingo,26.3,79,12.6
2024-05-30,Santo Domingo,26.3,81,13.3
2024-05-31,Santo Domingo,25.9,83.9,12.5
2024-05-24,Quito,13.1,90,7.2
2024-05-25,Quito,14.2,84,7.2
2024-05-26,Quito,12.9,89,4.3
2024-05-27,Quito,13.6,83,7.6
2024-05-28,Quito,11.6,91,7.2
2024-05-29,Quito,12.9,85,6.1
2024-05-30,Quito,13.8,82,9.4
2024-05-31,Quito,12.9,83.4,8.0
2024-05-24,Cairo,26.8,35,31.3
2024-05-25,Cairo,27.2,30,27.0
2024-05-26,Cairo,29.6,23,16.6
2024-05-27,Cairo,31.1,26,34.2
2024-05-28,Cairo,26.2,43,31.3
2024-05-29,Cairo,25.9,41,31.3
2024-05-30,Cairo,26.1,35,32.4
2024-05-31,Cairo,26.4,39.3,33.0
2024-05-24,San Salvador,25.5,81,11.5
2024-05-25,San Salvador,25.9,76,13.0
2024-05-26,San Salvador,25.8,76,13.0
2024-05-27,San Salvador,26.2,75,11.2
2024-05-28,San Salvador,26.5,76,13.3
2024-05-29,San Salvador,25.8,76,10.1
2024-05-30,San Salvador,25.8,79,11.9
